polarity,todotask,correct,total_time,audio_path,response,time_taken
congruent,color,RED,1.2,pilot_study_data/4/audios/congruent_1_color.wav, Red,1.065
congruent,color,GREEN,1.2,pilot_study_data/4/audios/congruent_2_color.wav,,1.2
congruent,color,YELLOW,1.2,pilot_study_data/4/audios/congruent_3_color.wav,,1.2
congruent,color,RED,1.2,pilot_study_data/4/audios/congruent_4_color.wav, Right.,1.2
congruent,color,GREEN,1.2,pilot_study_data/4/audios/congruent_5_color.wav,,1.2
congruent,color,YELLOW,1.2,pilot_study_data/4/audios/congruent_6_color.wav, yelu,1.2
congruent,color,BLUE,1.2,pilot_study_data/4/audios/congruent_7_color.wav, Blu,1.01
congruent,color,BLUE,1.2,pilot_study_data/4/audios/congruent_8_color.wav,,1.2
congruent,color,GREEN,1.2,pilot_study_data/4/audios/congruent_9_color.wav, Green.,1.2
congruent,color,BLUE,1.2,pilot_study_data/4/audios/congruent_10_color.wav, Do,1.2
congruent,color,YELLOW,1.2,pilot_study_data/4/audios/congruent_11_color.wav, Hello...,1.2
conflict,word,BLUE,1.2,pilot_study_data/4/audios/conflict_0_word.wav,,0.30500000000000005
conflict,word,GREEN,1.2,pilot_study_data/4/audios/conflict_1_word.wav, Blue Green,1.2
conflict,word,YELLOW,1.2,pilot_study_data/4/audios/conflict_2_word.wav, Hello.,1.2
conflict,word,RED,1.2,pilot_study_data/4/audios/conflict_3_word.wav, read,1.2
conflict,word,RED,1.2,pilot_study_data/4/audios/conflict_4_word.wav, Right,1.2
conflict,word,RED,1.2,pilot_study_data/4/audios/conflict_5_word.wav, Red,0.985
conflict,word,GREEN,1.2,pilot_study_data/4/audios/conflict_6_word.wav, Green,1.035
conflict,word,BLUE,1.2,pilot_study_data/4/audios/conflict_7_word.wav, blue,1.06
conflict,word,GREEN,1.2,pilot_study_data/4/audios/conflict_8_word.wav, Green.,1.2
conflict,word,YELLOW,1.2,pilot_study_data/4/audios/conflict_9_word.wav, Hello.,1.025
conflict,word,YELLOW,1.2,pilot_study_data/4/audios/conflict_10_word.wav, You loot.,1.01
conflict,word,BLUE,1.2,pilot_study_data/4/audios/conflict_11_word.wav, Blue.,0.975
conflict,color,YELLOW,1.2,pilot_study_data/4/audios/conflict_0_color.wav, Yellow,1.2
conflict,color,RED,1.2,pilot_study_data/4/audios/conflict_1_color.wav, Red,1.08
conflict,color,GREEN,1.2,pilot_study_data/4/audios/conflict_2_color.wav,,1.2
conflict,color,GREEN,1.2,pilot_study_data/4/audios/conflict_3_color.wav,,1.2
conflict,color,BLUE,1.2,pilot_study_data/4/audios/conflict_4_color.wav, Blue,1.05
conflict,color,YELLOW,1.2,pilot_study_data/4/audios/conflict_5_color.wav, yeah lou,1.2
conflict,color,YELLOW,1.2,pilot_study_data/4/audios/conflict_6_color.wav, yellow,1.2
conflict,color,GREEN,1.2,pilot_study_data/4/audios/conflict_7_color.wav,,1.2
conflict,color,BLUE,1.2,pilot_study_data/4/audios/conflict_8_color.wav,,1.2
conflict,color,BLUE,1.2,pilot_study_data/4/audios/conflict_9_color.wav,,1.2
conflict,color,RED,1.2,pilot_study_data/4/audios/conflict_10_color.wav, Red,1.01
conflict,color,RED,1.2,pilot_study_data/4/audios/conflict_11_color.wav, Red,1.02
