polarity,todotask,correct,total_time,audio_path,response,time_taken
congruent,color,BLUE,1.2,pilot_study_data/3/audios/congruent_6_color.wav, BR souvent And Still So I Self,0.815
congruent,color,YELLOW,1.2,pilot_study_data/3/audios/congruent_7_color.wav, Ye合2,0.925
congruent,color,BLUE,1.2,pilot_study_data/3/audios/congruent_8_color.wav, Blue,0.81
congruent,color,YELLOW,1.2,pilot_study_data/3/audios/congruent_9_color.wav, yellow,1.2
congruent,color,BLUE,1.2,pilot_study_data/3/audios/congruent_10_color.wav, Blue,0.605
congruent,color,RED,1.2,pilot_study_data/3/audios/congruent_11_color.wav, jed,0.75
conflict,word,BLUE,1.2,pilot_study_data/3/audios/conflict_0_word.wav, blue,1.02
conflict,word,GREEN,1.2,pilot_study_data/3/audios/conflict_1_word.wav, green.,0.72
conflict,word,YELLOW,1.2,pilot_study_data/3/audios/conflict_2_word.wav, yellow,0.665
conflict,word,RED,1.2,pilot_study_data/3/audios/conflict_3_word.wav, Red,0.595
conflict,word,GREEN,1.2,pilot_study_data/3/audios/conflict_4_word.wav,,0.7250000000000001
conflict,word,BLUE,1.2,pilot_study_data/3/audios/conflict_5_word.wav, Blue,0.6599999999999999
conflict,word,RED,1.2,pilot_study_data/3/audios/conflict_6_word.wav, Red,0.595
conflict,word,YELLOW,1.2,pilot_study_data/3/audios/conflict_7_word.wav, Yelu,0.7
conflict,word,GREEN,1.2,pilot_study_data/3/audios/conflict_8_word.wav, Green.,0.755
conflict,word,RED,1.2,pilot_study_data/3/audios/conflict_9_word.wav, stateammins.,0.6799999999999999
conflict,word,BLUE,1.2,pilot_study_data/3/audios/conflict_10_word.wav, Blue.,0.69
conflict,word,YELLOW,1.2,pilot_study_data/3/audios/conflict_11_word.wav, yellow,0.675
conflict,color,YELLOW,1.2,pilot_study_data/3/audios/conflict_0_color.wav, You,1.2
conflict,color,RED,1.2,pilot_study_data/3/audios/conflict_1_color.wav, Wait.,0.825
conflict,color,RED,1.2,pilot_study_data/3/audios/conflict_2_color.wav, Then,0.89
conflict,color,YELLOW,1.2,pilot_study_data/3/audios/conflict_3_color.wav, I love it!,1.045
conflict,color,BLUE,1.2,pilot_study_data/3/audios/conflict_4_color.wav,,1.2
conflict,color,RED,1.2,pilot_study_data/3/audios/conflict_5_color.wav,,1.2
conflict,color,BLUE,1.2,pilot_study_data/3/audios/conflict_6_color.wav,,1.2
conflict,color,GREEN,1.2,pilot_study_data/3/audios/conflict_7_color.wav,,1.055
conflict,color,YELLOW,1.2,pilot_study_data/3/audios/conflict_8_color.wav, yellow,1.2
conflict,color,GREEN,1.2,pilot_study_data/3/audios/conflict_9_color.wav, Green.,1.085
conflict,color,GREEN,1.2,pilot_study_data/3/audios/conflict_10_color.wav, Green.,0.92
conflict,color,BLUE,1.2,pilot_study_data/3/audios/conflict_11_color.wav, Bluetooth,1.02
