polarity,todotask,correct,total_time,audio_path,response,time_taken
neutral,color,RED,1.2,pilot_study_data/2/audios/neutral_11_color.wav," The theory master says very standardized whether reliable, wireless connection with Harvey VS Siri and Google Play fields. By default, have tested for and has practically,",0.91
congruent,word,RED,1.2,pilot_study_data/2/audios/congruent_0_word.wav, great,0.9650000000000001
congruent,word,BLUE,1.2,pilot_study_data/2/audios/congruent_1_word.wav, blue,0.63
congruent,word,RED,1.2,pilot_study_data/2/audios/congruent_2_word.wav, read,0.575
congruent,word,BLUE,1.2,pilot_study_data/2/audios/congruent_3_word.wav, blue,0.62
congruent,word,YELLOW,1.2,pilot_study_data/2/audios/congruent_4_word.wav, yellow,0.69
congruent,word,GREEN,1.2,pilot_study_data/2/audios/congruent_5_word.wav, Green.,0.59
congruent,word,YELLOW,1.2,pilot_study_data/2/audios/congruent_6_word.wav, yellow,0.645
congruent,word,GREEN,1.2,pilot_study_data/2/audios/congruent_7_word.wav, Green.,0.7
congruent,word,GREEN,1.2,pilot_study_data/2/audios/congruent_8_word.wav, Green.,0.7
congruent,word,RED,1.2,pilot_study_data/2/audios/congruent_9_word.wav, hit it,0.63
congruent,word,YELLOW,1.2,pilot_study_data/2/audios/congruent_10_word.wav," Yeah, no.",0.6599999999999999
congruent,word,BLUE,1.2,pilot_study_data/2/audios/congruent_11_word.wav, Blue.,0.6799999999999999
congruent,color,RED,1.2,pilot_study_data/2/audios/congruent_0_color.wav, read,0.845
congruent,color,BLUE,1.2,pilot_study_data/2/audios/congruent_1_color.wav, Blue.,0.5599999999999999
congruent,color,RED,1.2,pilot_study_data/2/audios/congruent_2_color.wav," Good spirituality being educated, faded, faded, faded,",0.47500000000000003
congruent,color,BLUE,1.2,pilot_study_data/2/audios/congruent_3_color.wav, blue,0.47000000000000003
congruent,color,YELLOW,1.2,pilot_study_data/2/audios/congruent_4_color.wav, yellow,0.525
congruent,color,GREEN,1.2,pilot_study_data/2/audios/congruent_5_color.wav, Green.,0.71
congruent,color,YELLOW,1.2,pilot_study_data/2/audios/congruent_6_color.wav, yellow,0.6699999999999999
congruent,color,GREEN,1.2,pilot_study_data/2/audios/congruent_7_color.wav, Green.,0.72
congruent,color,GREEN,1.2,pilot_study_data/2/audios/congruent_8_color.wav, Green.,0.675
congruent,color,RED,1.2,pilot_study_data/2/audios/congruent_9_color.wav, Red,0.81
congruent,color,YELLOW,1.2,pilot_study_data/2/audios/congruent_10_color.wav, yellow,0.72
congruent,color,BLUE,1.2,pilot_study_data/2/audios/congruent_11_color.wav, Blue.,0.675
conflict,word,YELLOW,1.2,pilot_study_data/2/audios/conflict_0_word.wav, yellow,0.9249999999999999
conflict,word,RED,1.2,pilot_study_data/2/audios/conflict_1_word.wav, Frate,0.6799999999999999
conflict,word,YELLOW,1.2,pilot_study_data/2/audios/conflict_2_word.wav, yellow,0.7050000000000001
conflict,word,GREEN,1.2,pilot_study_data/2/audios/conflict_3_word.wav, Green.,0.745
conflict,word,YELLOW,1.2,pilot_study_data/2/audios/conflict_4_word.wav, yellow,0.665
conflict,word,RED,1.2,pilot_study_data/2/audios/conflict_5_word.wav, Red,0.585
conflict,word,RED,1.2,pilot_study_data/2/audios/conflict_6_word.wav, Good night.,0.395
conflict,word,BLUE,1.2,pilot_study_data/2/audios/conflict_7_word.wav, blue,0.645
conflict,word,GREEN,1.2,pilot_study_data/2/audios/conflict_8_word.wav, Green.,0.72
conflict,word,BLUE,1.2,pilot_study_data/2/audios/conflict_9_word.wav, Blue.,0.6950000000000001
conflict,word,BLUE,1.2,pilot_study_data/2/audios/conflict_10_word.wav, blue,0.615
conflict,word,GREEN,1.2,pilot_study_data/2/audios/conflict_11_word.wav, Green.,1.2
conflict,color,BLUE,1.2,pilot_study_data/2/audios/conflict_0_color.wav, blue,1.005
conflict,color,BLUE,1.2,pilot_study_data/2/audios/conflict_1_color.wav, blue,0.975
conflict,color,RED,1.2,pilot_study_data/2/audios/conflict_2_color.wav,grid,1.035
conflict,color,RED,1.2,pilot_study_data/2/audios/conflict_3_color.wav, with mod.,0.89
conflict,color,GREEN,1.2,pilot_study_data/2/audios/conflict_4_color.wav,,1.2
conflict,color,GREEN,1.2,pilot_study_data/2/audios/conflict_5_color.wav, Green.,1.005
conflict,color,YELLOW,1.2,pilot_study_data/2/audios/conflict_6_color.wav, yellow,0.975
conflict,color,RED,1.2,pilot_study_data/2/audios/conflict_7_color.wav, Bred.,0.985
conflict,color,YELLOW,1.2,pilot_study_data/2/audios/conflict_8_color.wav, yellow,1.2
conflict,color,YELLOW,1.2,pilot_study_data/2/audios/conflict_9_color.wav, yellow,0.96
conflict,color,GREEN,1.2,pilot_study_data/2/audios/conflict_10_color.wav,,1.2
conflict,color,BLUE,1.2,pilot_study_data/2/audios/conflict_11_color.wav, blue,1.2
